11/1/2018,-0.471814827,1. John 3:16: For God so loved the world that he gave his one and only Son that whoever believes in him shall not perish but have eternal life.
11/2/2018,-0.114482543,2. Jer 29:11: For I know the plans I have for you” declares the LORD “plans to prosper you and not to harm you plans to give you hope and a future.
11/3/2018,0.049763736,3. Rom 8:28: And we know that in all things God works for the good of those who love him who have been called according to his purpose.
11/4/2018,-0.142096199,4. Phil 4:13: I can do everything through him who gives me strength.
11/5/2018,0.839854126,5. Gen 1:1: In the beginning God created the heavens and the earth.
11/6/2018,0.950345991,6. Prov 3:5: Trust in the LORD with all your heart and lean not on your own understanding.
11/7/2018,0.136787846,7. Prov 3:6: in all your ways acknowledge him and he will make your paths straight.
11/8/2018,-0.451018099,8. Rom 12:2: Do not conform any longer to the pattern of this world but be transformed by the renewing of your mind. Then you will be able to test and approve what God’s will is—his good pleasing and perfect will.
11/9/2018,-0.773166561,9. Phil 4:6: Do not be anxious about anything but in everything by prayer and petition with thanksgiving present your requests to God.
11/10/2018,0.580708367,10. Matt 28:19: Therefore go and make disciples of all nations baptizing them in the name of the Father and of the Son and of the Holy Spirit.
11/11/2018,0.409555136,11. Eph 2:8: For it is by grace you have been saved through faith—and this not from yourselves it is the gift of God—
11/12/2018,0.449612936,12. Gal 5:22: But the fruit of the Spirit is love joy peace patience kindness goodness faithfulness
11/13/2018,-0.50987319,13. Rom 12:1: Therefore I urge you brothers in view of God’s mercy to offer your bodies as living sacrifices holy and pleasing to God—this is your spiritual act of worship.
11/14/2018,-0.501008436,14. John 10:10: The thief comes only to steal and kill and destroy; I have come that they may have life and have it to the full.
11/15/2018,-0.135928508,15. Acts 18:10: For I am with you and no one is going to attack and harm you because I have many people in this city.”
11/16/2018,0.108198763,16. Acts 18:9: One night the Lord spoke to Paul in a vision: “Do not be afraid; keep on speaking do not be silent.
11/17/2018,-0.151566997,17. Acts 18:11: So Paul stayed for a year and a half teaching them the word of God.
11/18/2018,-0.073391514,18. Gal 2:20: I have been crucified with Christ and I no longer live but Christ lives in me. The life I live in the body I live by faith in the Son of God who loved me and gave himself for me.
11/19/2018,0.857626497,19. 1 John 1:9: If we confess our sins he is faithful and just and will forgive us our sins and purify us from all unrighteousness.
11/20/2018,-0.50922327,20. Rom 3:23: for all have sinned and fall short of the glory of God
11/21/2018,0.640212903,21. John 14:6: Jesus answered “I am the way and the truth and the life. No one comes to the Father except through me.
11/22/2018,0.706365288,22. Matt 28:20: and teaching them to obey everything I have commanded you. And surely I am with you always to the very end of the age.”
11/23/2018,-0.397460813,23. Rom 5:8: But God demonstrates his own love for us in this: While we were still sinners Christ died for us.
11/24/2018,0.878804492,24. Phil 4:8: Finally brothers whatever is true whatever is noble whatever is right whatever is pure whatever is lovely whatever is admirable—if anything is excellent or praiseworthy—think about such things.
11/25/2018,-0.55790323,25. Phil 4:7: And the peace of God which transcends all understanding will guard your hearts and your minds in Christ Jesus.
11/26/2018,-0.678141479,26. Josh 1:9: Have I not commanded you? Be strong and courageous. Do not be terrified; do not be discouraged for the LORD your God will be with you wherever you go.”
11/27/2018,-0.506844553,27. Isa 40:31: but those who hope in the LORD will renew their strength. They will soar on wings like eagles; they will run and not grow weary they will walk and not be faint.
11/28/2018,0.655580064,28. Eph 2:9: not by works so that no one can boast.
11/29/2018,0.038873877,29. Rom 6:23: For the wages of sin is death but the gift of God is eternal life in Christ Jesus our Lord.
11/30/2018,0.025891009,30. Gal 5:23: gentleness and self-control. Against such things there is no law.
